match_id,home_team,away_team,home_odds,draw_odds,away_odds,league,bookmaker,timestamp
1,Melbourne City FC,Brisbane Roar FC,3.06,4.45,1.45,Africa Cup of Nations,Bet365,2026-01-20 05:23:07.946808
2,Melbourne City FC,Brisbane Roar FC,1.85,3.5,4.45,A-League,BetPawa,2026-01-19 22:54:04.824447
3,Pisa SC,Como 1907,5.77,4.16,4.29,Africa Cup of Nations,Bet365,2026-01-19 13:20:11.921614
4,Pisa SC,Como 1907,5.5,3.7,1.8,Serie A,BetPawa,2026-01-19 22:54:04.827671
5,Algeria,Congo DR,4.74,4.41,2.78,A-League,Bet365,2026-01-19 11:03:52.691209
6,Algeria,Congo DR,2.08,3.25,4.5,Africa Cup of Nations,BetPawa,2026-01-19 22:54:04.828669
7,US Lecce,AS Roma,4.11,4.34,3.69,Premier League,Bet365,2026-01-19 19:20:02.492748
8,US Lecce,AS Roma,5.5,3.65,1.81,Serie A,BetPawa,2026-01-19 22:54:04.829667
9,Ivory Coast,Burkina Faso,2.03,3.9,5.57,Africa Cup of Nations,BetPawa,2026-01-20 07:14:33.973495
10,Sassuolo Calcio,Juventus Turin,2.03,4.38,2.47,Africa Cup of Nations,Pinnacle,2026-01-19 13:23:47.349719
11,Sassuolo Calcio,Juventus Turin,5.25,4.0,1.76,Serie A,BetPawa,2026-01-19 22:54:04.831669
12,Livingston FC,St Mirren FC,1.57,3.13,3.23,Serie A,Bet365,2026-01-19 23:43:06.285556
13,Livingston FC,St Mirren FC,2.9,3.3,2.45,Premiership,BetPawa,2026-01-19 22:54:04.831669
14,West Ham United,Nottingham Forest,5.37,3.29,4.85,Africa Cup of Nations,Pinnacle,2026-01-20 01:51:57.709024
15,West Ham United,Nottingham Forest,3.25,3.5,2.4,Premier League,BetPawa,2026-01-19 22:54:04.832664
16,Glasgow Rangers,Aberdeen FC,4.13,3.07,2.38,Africa Cup of Nations,Pinnacle,2026-01-19 13:17:25.658061
17,Glasgow Rangers,Aberdeen FC,1.51,4.35,6.0,Premiership,BetPawa,2026-01-19 22:54:04.832664
18,Bologna FC,Atalanta BC,2.75,3.35,2.6,Serie A,BetPawa,2026-01-19 22:54:04.833659
19,Manchester United,Liverpool,4.63,3.49,1.66,Serie A,Bet365,2026-01-20 01:03:51.666780
20,SSC Napoli,Hellas Verona,1.32,5.0,11.5,Serie A,BetPawa,2026-01-19 22:54:04.833659
21,Manchester City,Brighton & Hove Albion,1.42,5.75,7.5,Premier League,BetPawa,2026-01-19 22:54:04.834657
22,Everton FC,Wolverhampton Wanderers,1.77,3.6,4.8,Premier League,BetPawa,2026-01-19 22:54:04.834657
23,Crystal Palace,Aston Villa,3.2,3.5,2.4,Premier League,BetPawa,2026-01-19 22:54:04.834657
24,Brentford FC,Sunderland AFC,1.83,3.65,4.35,Premier League,BetPawa,2026-01-19 22:54:04.835655
25,AFC Bournemouth,Tottenham Hotspur,2.2,3.8,3.4,Premier League,BetPawa,2026-01-19 22:54:04.835655
26,Fulham FC,Chelsea FC,3.45,3.75,2.19,Premier League,BetPawa,2026-01-19 22:54:04.835655
27,Lazio Rome,ACF Fiorentina,2.4,3.15,3.2,Serie A,BetPawa,2026-01-19 22:54:04.836653
28,Parma Calcio,Inter Milano,8.0,5.25,1.36,Serie A,BetPawa,2026-01-19 22:54:04.836653
29,Torino FC,Udinese Calcio,2.3,3.1,3.4,Serie A,BetPawa,2026-01-19 22:54:04.837651
30,Burnley FC,Manchester United,4.7,4.05,1.69,Premier League,BetPawa,2026-01-19 22:54:04.837651
31,Newcastle United,Leeds United,1.67,3.95,5.0,Premier League,BetPawa,2026-01-19 22:54:04.838658
32,US Cremonese,Cagliari Calcio,2.4,3.15,3.15,Serie A,BetPawa,2026-01-19 22:54:04.838658
33,AC Milan,Genoa CFC,1.43,4.45,7.75,Serie A,BetPawa,2026-01-19 22:54:04.839654
34,Arsenal FC,Liverpool FC,1.61,4.25,5.25,Premier League,BetPawa,2026-01-19 22:54:04.844643
35,Brisbane Roar FC,Auckland FC,2.75,3.55,2.5,A-League,BetPawa,2026-01-19 22:54:04.846642
36,Mali,Senegal,6.25,3.75,1.59,Africa Cup of Nations,BetPawa,2026-01-19 22:54:04.849636
37,Cameroon,Morocco,6.75,3.85,1.55,Africa Cup of Nations,BetPawa,2026-01-19 22:54:04.850633
38,NEC Nijmegen,FC Utrecht,2.06,3.85,3.2,Eredivisie,BetPawa,2026-01-19 22:54:04.850633
39,Eintracht Frankfurt,Borussia Dortmund,3.3,3.75,2.08,Bundesliga,BetPawa,2026-01-19 22:54:04.851633
40,Ross County FC,Partick Thistle FC,3.4,3.5,2.13,Championship,BetPawa,2026-01-19 22:54:04.851633
41,Getafe CF,Real Sociedad San Sebastian,3.1,2.9,2.65,LaLiga,BetPawa,2026-01-19 22:54:04.852631
42,Mazatlan FC,FC Juarez,2.85,3.25,2.35,"Primera Division, Clausura",BetPawa,2026-01-19 22:54:04.852631
43,Club Tijuana de Caliente,CF America,3.7,3.7,1.84,"Primera Division, Clausura",BetPawa,2026-01-19 22:54:04.853628
44,Atlas FC,Club Puebla,2.18,3.35,3.1,"Primera Division, Clausura",BetPawa,2026-01-19 22:54:04.853628
45,Melbourne Victory,Western Sydney Wanderers,1.85,3.75,4.1,A-League,BetPawa,2026-01-19 22:54:04.854628
46,Macarthur FC,Sydney FC,2.95,3.75,2.23,A-League,BetPawa,2026-01-19 22:54:04.854628
