match_details_link,match_details_time,match_details_date,match_details_teams,match_details_league,match_details_bet_options_option_1,match_details_bet_options_option_x,match_details_bet_options_option_2,match_details_bet_options_bet_count
https://www.betpawa.co.ke/event/32130631?filter=all,11:00 am,Tue 06/01,"Melbourne City FC
Brisbane Roar FC",Football / Australia / A-League,1.85,3.50,4.45,128
https://www.betpawa.co.ke/event/31460575?filter=all,5:00 pm,Tue 06/01,"Pisa SC
Como 1907",Football / Italy / Serie A,5.50,3.70,1.80,158
https://www.betpawa.co.ke/event/32228959?filter=all,7:00 pm,Tue 06/01,"Algeria
Congo DR",Football / International / Africa Cup of Nations,2.08,3.25,4.50,152
https://www.betpawa.co.ke/event/31460573?filter=all,8:00 pm,Tue 06/01,"US Lecce
AS Roma",Football / Italy / Serie A,5.50,3.65,1.81,155
https://www.betpawa.co.ke/event/32284584?filter=all,10:00 pm,Tue 06/01,"Ivory Coast
Burkina Faso",Football / International / Africa Cup of Nations,1.87,3.45,5.50,157
https://www.betpawa.co.ke/event/31517439?filter=all,10:45 pm,Tue 06/01,"Sassuolo Calcio
Juventus Turin",Football / Italy / Serie A,5.25,4.00,1.76,158
https://www.betpawa.co.ke/event/32130629?filter=all,10:45 pm,Tue 06/01,"Livingston FC
St Mirren FC",Football / Scotland / Premiership,2.90,3.30,2.45,112
https://www.betpawa.co.ke/event/32100479?filter=all,11:00 pm,Tue 06/01,"West Ham United
Nottingham Forest",Football / England / Premier League,3.25,3.50,2.40,157
https://www.betpawa.co.ke/event/32076289?filter=all,11:00 pm,Tue 06/01,"Glasgow Rangers
Aberdeen FC",Football / Scotland / Premiership,1.51,4.35,6.00,114
https://www.betpawa.co.ke/event/31460574?filter=all,8:30 pm,Wed 07/01,"Bologna FC
Atalanta BC",Football / Italy / Serie A,2.75,3.35,2.60,147
https://www.betpawa.co.ke/event/31560910?filter=all,8:30 pm,Wed 07/01,"SSC Napoli
Hellas Verona",Football / Italy / Serie A,1.32,5.00,11.50,143
https://www.betpawa.co.ke/event/32080251?filter=all,10:30 pm,Wed 07/01,"Manchester City
Brighton & Hove Albion",Football / England / Premier League,1.42,5.75,7.50,150
https://www.betpawa.co.ke/event/32161716?filter=all,10:30 pm,Wed 07/01,"Everton FC
Wolverhampton Wanderers",Football / England / Premier League,1.77,3.60,4.80,150
https://www.betpawa.co.ke/event/32134764?filter=all,10:30 pm,Wed 07/01,"Crystal Palace
Aston Villa",Football / England / Premier League,3.20,3.50,2.40,150
https://www.betpawa.co.ke/event/32134779?filter=all,10:30 pm,Wed 07/01,"Brentford FC
Sunderland AFC",Football / England / Premier League,1.83,3.65,4.35,150
https://www.betpawa.co.ke/event/32080344?filter=all,10:30 pm,Wed 07/01,"AFC Bournemouth
Tottenham Hotspur",Football / England / Premier League,2.20,3.80,3.40,152
https://www.betpawa.co.ke/event/32080343?filter=all,10:30 pm,Wed 07/01,"Fulham FC
Chelsea FC",Football / England / Premier League,3.45,3.75,2.19,151
https://www.betpawa.co.ke/event/31560909?filter=all,10:45 pm,Wed 07/01,"Lazio Rome
ACF Fiorentina",Football / Italy / Serie A,2.40,3.15,3.20,146
https://www.betpawa.co.ke/event/31517441?filter=all,10:45 pm,Wed 07/01,"Parma Calcio
Inter Milano",Football / Italy / Serie A,8.00,5.25,1.36,145
https://www.betpawa.co.ke/event/31493534?filter=all,10:45 pm,Wed 07/01,"Torino FC
Udinese Calcio",Football / Italy / Serie A,2.30,3.10,3.40,146
https://www.betpawa.co.ke/event/32161705?filter=all,11:15 pm,Wed 07/01,"Burnley FC
Manchester United",Football / England / Premier League,4.70,4.05,1.69,150
https://www.betpawa.co.ke/event/32080335?filter=all,11:15 pm,Wed 07/01,"Newcastle United
Leeds United",Football / England / Premier League,1.67,3.95,5.00,150
https://www.betpawa.co.ke/event/31493535?filter=all,8:30 pm,Thu 08/01,"US Cremonese
Cagliari Calcio",Football / Italy / Serie A,2.40,3.15,3.15,131
