Timestamp,Target,ModelType,Metric,Score,Feature_Count,Best_Params
2025-12-24 02:37:59,WLD,LGBM,Accuracy,0.5033181522446324,19,{}
2025-12-24 03:00:45,BTTS,XGB,Accuracy,0.5342008241162438,19,{}
2025-12-24 03:27:44,Over25,LGBM,Accuracy,0.5653437432227283,19,{}
2025-12-24 03:54:15,TotalGoals,LGBM,MAE,1.2854551144921056,19,{}
2025-12-24 04:26:13,WLD,RFMODEL,Accuracy,0.5047,,n_test=23056
2025-12-24 04:26:31,WLD,RFMODEL,ROI,-100.0,,NetProfit=-230360.00
2025-12-24 04:26:34,TotalGoals,RFMODEL,MAE,1.3047,,n_test=23056
2025-12-24 04:26:36,BTTS,RFMODEL,Accuracy,0.5458,,n_test=23056
2025-12-24 04:26:39,Over25,RFMODEL,Accuracy,0.5715,,n_test=23056
2025-12-24 04:37:38,WLD,RFMODEL,Accuracy,0.5047,,n_test=23056
2025-12-24 04:37:48,WLD,RFMODEL,ROI,-4.5277,,NetProfit=-10429.90
2025-12-24 04:37:52,TotalGoals,RFMODEL,MAE,1.3047,,n_test=23056
2025-12-24 04:37:54,BTTS,RFMODEL,Accuracy,0.5458,,n_test=23056
2025-12-24 04:37:57,Over25,RFMODEL,Accuracy,0.5715,,n_test=23056
2025-12-24 04:38:37,WLD,RFMODEL,Accuracy,0.5047,,n_test=23056
2025-12-24 04:38:46,WLD,RFMODEL,ROI,-4.5277,,NetProfit=-10429.90
2025-12-24 04:38:49,TotalGoals,RFMODEL,MAE,1.3047,,n_test=23056
2025-12-24 04:38:51,BTTS,RFMODEL,Accuracy,0.5458,,n_test=23056
2025-12-24 04:38:54,Over25,RFMODEL,Accuracy,0.5715,,n_test=23056
2026-03-17 18:26:05,WLD,XGB,Accuracy,0.50353502494036,38,"{""subsample"": 1.0, ""n_estimators"": 500, ""max_depth"": 3, ""learning_rate"": 0.01, ""gamma"": 0.1, ""colsample_bytree"": 1.0}"
